8655,2.29,-0.97,-9.53,0.0013,0.0011,-0.0021
8771,2.31,-0.98,-9.51,0.0067,0.0056,-0.0019
8886,2.31,-0.93,-9.55,0.0035,0.0013,-0.0021
9001,2.30,-0.98,-9.53,-0.0003,0.0003,0.0005
9116,2.27,-0.98,-9.53,0.0021,-0.0016,-0.0024
9231,2.31,-0.98,-9.56,0.0013,-0.0011,0.0005
9346,2.31,-0.98,-9.52,0.0032,0.0019,-0.0024
9461,2.27,-0.94,-9.52,0.0016,0.0021,-0.0024
9577,2.32,-0.92,-9.52,0.0008,0.0043,-0.0021
9693,2.26,-0.98,-9.53,-0.0016,0.0005,-0.0021
9808,2.31,-0.99,-9.55,0.0024,-0.0003,0.0000
9923,2.28,-0.96,-9.53,0.0024,0.0008,0.0013
10038,2.25,-0.97,-9.52,0.0019,-0.0027,-0.0008
10153,2.28,-0.99,-9.54,0.0003,-0.0016,-0.0011
10267,2.28,-0.90,-9.56,0.0011,0.0008,-0.0011
10382,2.33,-0.97,-9.52,-0.0008,0.0008,-0.0029
10495,2.28,-0.94,-9.54,0.0005,-0.0003,-0.0032
10609,2.27,-0.94,-9.48,0.0008,-0.0008,0.0011
10723,2.32,-0.95,-9.53,-0.0013,-0.0008,-0.0013
10837,2.29,-0.98,-9.50,0.0008,0.0016,-0.0008
10951,2.35,-0.96,-9.55,0.0027,0.0040,-0.0013
11065,2.28,-0.96,-9.53,-0.0024,0.0051,-0.0037
11178,2.30,-0.98,-9.54,-0.0008,0.0027,-0.0024
11292,2.31,-0.94,-9.55,0.0003,-0.0019,-0.0013
11405,2.28,-0.98,-9.53,-0.0003,0.0005,-0.0019
11519,2.32,-0.98,-9.53,0.0011,-0.0029,-0.0008
11634,2.29,-0.97,-9.54,-0.0005,-0.0029,-0.0013
11748,2.27,-0.97,-9.56,-0.0013,-0.0024,-0.0027
11861,2.30,-0.93,-9.53,0.0032,0.0037,-0.0016
11975,2.28,-0.95,-9.54,-0.0032,0.0027,-0.0053
12089,2.31,-0.95,-9.55,0.0011,0.0021,-0.0048
12203,2.30,-0.93,-9.56,0.0003,0.0008,0.0008
12317,2.32,-0.96,-9.53,0.0013,0.0016,0.0000
12430,2.27,-0.96,-9.56,0.0032,-0.0011,-0.0013
12545,2.33,-0.96,-9.49,0.0021,-0.0005,-0.0008
12659,2.28,-1.00,-9.51,0.0053,0.0032,-0.0011
12773,2.29,-1.01,-9.56,0.0032,0.0056,-0.0013
12888,2.29,-0.96,-9.54,-0.0016,-0.0024,-0.0037
13001,2.26,-1.01,-9.51,0.0011,0.0056,-0.0019
13115,2.26,-0.95,-9.53,0.0008,0.0000,-0.0027
13229,2.27,-0.98,-9.54,0.0011,-0.0005,-0.0019
13343,2.31,-0.98,-9.53,0.0029,0.0032,-0.0032
13457,2.29,-0.94,-9.53,0.0013,0.0011,-0.0043
13570,2.31,-0.91,-9.52,0.0027,0.0019,-0.0008
13684,2.28,-0.95,-9.50,0.0016,-0.0013,-0.0027
13798,2.32,-0.93,-9.56,-0.0011,0.0040,0.0000
13912,2.28,-0.98,-9.54,-0.0011,-0.0024,-0.0024
14027,2.25,-0.98,-9.53,-0.0011,0.0013,0.0011
14141,2.28,-0.91,-9.51,0.0003,0.0008,-0.0008
14254,2.28,-0.96,-9.51,-0.0013,-0.0040,-0.0029
14368,2.34,-0.93,-9.52,-0.0019,0.0003,-0.0027
14482,2.30,-0.98,-9.54,0.0035,0.0029,-0.0016
14595,2.33,-0.94,-9.52,-0.0011,-0.0027,-0.0021
14709,2.29,-0.98,-9.53,0.0016,0.0035,-0.0008
14822,2.27,-0.98,-9.53,0.0016,0.0016,-0.0013
